filename, language, Markdown, HTML, JSON, TypeScript React, TypeScript, CSS, XML, comment, blank, total
c:\Temalab\client-app\README.md, Markdown, 25, 0, 0, 0, 0, 0, 0, 0, 20, 45
c:\Temalab\client-app\package-lock.json, JSON, 0, 0, 13848, 0, 0, 0, 0, 0, 1, 13849
c:\Temalab\client-app\package.json, JSON, 0, 0, 62, 0, 0, 0, 0, 0, 1, 63
c:\Temalab\client-app\public\index.html, HTML, 0, 21, 0, 0, 0, 0, 0, 23, 1, 45
c:\Temalab\client-app\public\manifest.json, JSON, 0, 0, 25, 0, 0, 0, 0, 0, 1, 26
c:\Temalab\client-app\src\app\App.css, CSS, 0, 0, 0, 0, 0, 19, 0, 0, 4, 23
c:\Temalab\client-app\src\app\App.test.tsx, TypeScript React, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
c:\Temalab\client-app\src\app\App.tsx, TypeScript React, 0, 0, 0, 52, 0, 0, 0, 0, 6, 58
c:\Temalab\client-app\src\app\api\agent.ts, TypeScript, 0, 0, 0, 0, 40, 0, 0, 1, 13, 54
c:\Temalab\client-app\src\app\models\IState.ts, TypeScript, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
c:\Temalab\client-app\src\app\models\ITask.ts, TypeScript, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
c:\Temalab\client-app\src\app\stores\taskStore.ts, TypeScript, 0, 0, 0, 0, 221, 0, 0, 0, 19, 240
c:\Temalab\client-app\src\app\styles.css, CSS, 0, 0, 0, 0, 0, 20, 0, 0, 6, 26
c:\Temalab\client-app\src\common\SelectInput.tsx, TypeScript React, 0, 0, 0, 30, 0, 0, 0, 0, 4, 34
c:\Temalab\client-app\src\common\TextAreaInput.tsx, TypeScript React, 0, 0, 0, 25, 0, 0, 0, 0, 4, 29
c:\Temalab\client-app\src\common\TextInput.tsx, TypeScript React, 0, 0, 0, 25, 0, 0, 0, 0, 4, 29
c:\Temalab\client-app\src\features\NotFound.tsx, TypeScript React, 0, 0, 0, 19, 0, 0, 0, 0, 2, 21
c:\Temalab\client-app\src\features\home\HomePage.tsx, TypeScript React, 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
c:\Temalab\client-app\src\features\nav\NavBar.tsx, TypeScript React, 0, 0, 0, 37, 0, 0, 0, 0, 3, 40
c:\Temalab\client-app\src\features\state\StateCreateForm.tsx, TypeScript React, 0, 0, 0, 34, 0, 0, 0, 0, 8, 42
c:\Temalab\client-app\src\features\task\CreateForm.tsx, TypeScript React, 0, 0, 0, 111, 0, 0, 0, 0, 16, 127
c:\Temalab\client-app\src\features\task\DateInput.tsx, TypeScript React, 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
c:\Temalab\client-app\src\features\task\EditForm.tsx, TypeScript React, 0, 0, 0, 143, 0, 0, 0, 0, 18, 161
c:\Temalab\client-app\src\features\task\TaskCard.tsx, TypeScript React, 0, 0, 0, 79, 0, 0, 0, 1, 9, 89
c:\Temalab\client-app\src\features\task\TaskPriority.tsx, TypeScript React, 0, 0, 0, 50, 0, 0, 0, 0, 7, 57
c:\Temalab\client-app\src\features\task\TaskPriorityCard.tsx, TypeScript React, 0, 0, 0, 40, 0, 0, 0, 0, 7, 47
c:\Temalab\client-app\src\features\task\TasksGrid.tsx, TypeScript React, 0, 0, 0, 90, 0, 0, 0, 1, 12, 103
c:\Temalab\client-app\src\index.tsx, TypeScript React, 0, 0, 0, 16, 0, 0, 0, 3, 4, 23
c:\Temalab\client-app\src\logo.svg, XML, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
c:\Temalab\client-app\src\react-app-env.d.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
c:\Temalab\client-app\src\serviceWorker.ts, TypeScript, 0, 0, 0, 0, 99, 0, 0, 31, 14, 144
c:\Temalab\client-app\tsconfig.json, JSON, 0, 0, 27, 0, 0, 0, 0, 0, 1, 28
Total, -, 25, 21, 13962, 777, 372, 39, 1, 61, 194, 15452
